TENURE,LU_DESC,HECTARES,LC_DESC_11,LC_DESC_10
PRIVATE,Detached Home,0.08010629,Unknown,Unknown
PUBLIC,Forest Reserves - Public,11.83430197,Unknown,Unknown
PRIVATE,Detached Home,0.07767313,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.20987571,Unknown,Unknown
PRIVATE,Unclassified Private Land,3.43238917,Unknown,Unknown
PRIVATE,Detached Home,0.39016178,Unknown,Unknown
PUBLIC,Community Service Facilities or Other,0.23987018,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.42150194,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),3.86995850,Unknown,Unknown
PRIVATE,Livestock Production (Dairy Cattle),0.26913047,Unknown,Unknown
PRIVATE,Detached Home,0.26230853,Unknown,Unknown
PRIVATE,Detached Home,0.48620468,Unknown,Unknown
PRIVATE,Detached Home,0.24785595,Unknown,Unknown
PRIVATE,Retail Premises (single occupancy/single title/single stratum),0.18657275,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.10137791,Unknown,Unknown
PRIVATE,Detached Home,0.15877009,Unknown,Unknown
PRIVATE,Detached Home,0.10141089,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.22653051,Unknown,Unknown
PRIVATE,Detached Home,0.40486654,Unknown,Unknown
PRIVATE,Detached Home,0.23629652,Unknown,Unknown
PRIVATE,Detached Home,0.14244538,Unknown,Unknown
PRIVATE,Detached Home,0.26685546,Unknown,Unknown
PRIVATE,Detached Home,0.20813007,Unknown,Unknown
PRIVATE,Detached Home,0.60906212,Unknown,Unknown
PRIVATE,Retail Premises,0.12929770,Unknown,Unknown
PRIVATE,Detached Home,1.81423137,Unknown,Unknown
PUBLIC,Forest Reserves - Public,0.13796241,Unknown,Unknown
PRIVATE,Detached Home,0.16939737,Unknown,Unknown
PRIVATE,Detached Home,0.15977426,Unknown,Unknown
PRIVATE,Detached Home,0.17175729,Unknown,Unknown
PRIVATE,Detached Home,0.11912860,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.15566535,Unknown,Unknown
PRIVATE,Detached Home,0.26651315,Unknown,Unknown
PRIVATE,Detached Home,0.22228647,Unknown,Unknown
PRIVATE,Detached Home,0.06687460,Unknown,Unknown
PRIVATE,Detached Home,0.19942763,Unknown,Unknown
PRIVATE,Detached Home,0.19263217,Unknown,Unknown
PRIVATE,Detached Home,0.12664550,Unknown,Unknown
PRIVATE,Detached Home,0.23971715,Unknown,Unknown
PRIVATE,Detached Home,0.08010323,Unknown,Unknown
PRIVATE,Detached Home,0.23627028,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.19263127,Unknown,Unknown
PRIVATE,Detached Home,0.15186722,Unknown,Unknown
PRIVATE,Detached Home,0.09631939,Unknown,Unknown
PRIVATE,Detached Home,0.15199750,Unknown,Unknown
PRIVATE,Mixed farming and grazing  (generally more than 20ha),1.70703329,Unknown,Unknown
PUBLIC,"Unspecified - Transport, Storage, Utilities and Communication",0.23466008,Unknown,Unknown
PRIVATE,Detached Home,0.09631684,Unknown,Unknown
PRIVATE,Unclassified Private Land,0.08581617,Unknown,Unknown
PRIVATE,Detached Home,0.15196182,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.09631948,Unknown,Unknown
PRIVATE,Detached Home,0.20475355,Unknown,Unknown
PRIVATE,Detached Home,0.07963591,Unknown,Unknown
PUBLIC,"Unspecified - Transport, Storage, Utilities and Communication",0.31571584,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.09631218,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.10091384,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.20476054,Unknown,Unknown
PRIVATE,Detached Home,1.65305621,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.07985236,Unknown,Unknown
PRIVATE,Detached Home,0.10091843,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.10117640,Unknown,Unknown
PRIVATE,Detached Home,0.20838542,Unknown,Unknown
PRIVATE,Detached Home,1.01230361,Unknown,Unknown
PRIVATE,Detached Home,0.14622158,Unknown,Unknown
PRIVATE,Detached Home,0.10117659,Unknown,Unknown
PRIVATE,Detached Home,0.22333815,Unknown,Unknown
PUBLIC,"Unspecified - Transport, Storage, Utilities and Communication",0.09450291,Unknown,Unknown
PRIVATE,Detached Home,0.10116930,Unknown,Unknown
PRIVATE,Detached Home,0.18688103,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.10344231,Unknown,Unknown
PRIVATE,Detached Home,0.10117578,Unknown,Unknown
PUBLIC,"Unspecified - Transport, Storage, Utilities and Communication",0.16055700,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.81165359,Unknown,Unknown
PRIVATE,Detached Home,0.20511303,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.10117356,Unknown,Unknown
PRIVATE,Detached Home,0.20510870,Unknown,Unknown
PRIVATE,Detached Home,0.84774659,Unknown,Unknown
